iter	Passed	Remaining
0	36047	6452472
1	67817	6035758
2	98009	5782569
3	135609	5966796
4	170277	5959719
5	203499	5901494
6	239586	5921215
7	274261	5896621
8	304887	5792860
9	335885	5710056
10	369068	5670238
11	402465	5634515
12	435460	5593990
13	465497	5519469
14	501746	5519216
15	535880	5492775
16	570667	5471691
17	608072	5472654
18	643532	5453091
19	679423	5435390
20	713648	5403337
21	747466	5368167
22	781026	5331357
23	813860	5290094
24	847560	5254872
25	880974	5218076
26	914275	5180896
27	947402	5143041
28	980391	5104798
29	1016321	5081605
30	1049656	5045123
31	1083484	5011116
32	1116719	4974477
33	1149752	4937172
34	1184227	4906083
35	1216943	4867773
36	1251911	4838469
37	1286548	4807627
38	1318519	4766955
39	1350768	4727689
40	1384927	4695242
41	1417682	4658099
42	1448327	4614439
43	1489516	4603959
44	1522145	4566435
45	1558164	4538999
46	1594397	4511806
47	1628227	4477625
48	1664679	4450470
49	1697048	4412327
50	1732322	4381756
51	1765416	4345639
52	1801042	4315705
53	1837479	4287451
54	1878055	4268308
55	1913563	4237175
56	1949760	4207377
57	1986465	4178426
58	2023581	4150056
59	2062637	4125275
60	2099086	4094939
61	2134782	4062972
62	2168974	4028095
63	2202560	3992141
64	2239382	3961985
65	2278702	3935940
66	2320700	3914017
67	2356259	3880897
68	2390597	3845743
69	2430570	3819467
70	2465055	3784380
71	2497057	3745586
72	2526456	3703162
73	2562584	3670728
74	2594245	3631944
75	2628404	3596763
76	2662307	3561268
77	2695042	3524286
78	2728677	3488562
79	2760401	3450502
80	2792717	3413321
81	2823776	3374757
82	2856293	3338077
83	2893001	3306287
84	2925744	3269949
85	2960887	3236318
86	2996381	3203027
87	3029059	3166743
88	3061070	3129858
89	3093218	3093218
90	3128555	3059795
91	3160998	3023563
92	3195762	2989584
93	3228111	2953378
94	3263617	2920078
95	3299263	2886855
96	3335343	2853953
97	3369267	2819182
98	3401604	2783131
99	3436295	2749036
100	3471412	2715263
101	3505602	2680754
102	3545257	2650338
103	3581506	2617254
104	3620353	2585967
105	3663195	2557325
106	3706191	2528523
107	3743150	2495433
108	3785937	2466069
109	3825725	2434552
110	3860519	2399782
111	3908061	2372751
112	3951226	2342762
113	3988649	2309218
114	4017926	2271001
115	4056830	2238251
116	4092445	2203624
117	4126459	2168139
118	4159210	2132032
119	4194293	2097146
120	4228757	2061955
121	4261725	2026066
122	4294578	1990170
123	4324936	1953196
124	4358858	1917897
125	4392201	1882371
126	4431563	1849392
127	4464974	1813895
128	4501841	1779797
129	4549115	1749659
130	4591283	1717350
131	4632479	1684537
132	4673010	1651364
133	4709229	1616601
134	4750552	1583517
135	4787780	1548987
136	4824522	1514266
137	4861677	1479640
138	4896746	1444364
139	4932742	1409355
140	4973238	1375576
141	5017665	1342755
142	5058354	1308804
143	5096589	1274147
