iter	Passed	Remaining
0	4827	2409111
1	9262	2306412
2	14306	2370075
3	19062	2363695
4	24268	2402587
5	29056	2392320
6	34012	2395474
7	38731	2381990
8	43321	2363417
9	47837	2344044
10	52697	2342635
11	58115	2363364
12	63536	2380157
13	68679	2384148
14	73971	2391747
15	78807	2383914
16	83919	2384312
17	89266	2390348
18	94020	2380215
19	99073	2377752
20	104376	2380767
21	109540	2380016
22	114009	2364449
23	118857	2357343
24	124095	2357806
25	128824	2348575
26	133906	2345851
27	139380	2349563
28	144356	2344550
29	150555	2358709
30	156232	2363644
31	161248	2358264
32	166139	2351127
33	172495	2364208
34	178453	2370883
35	183330	2362926
36	188823	2362848
37	194134	2360261
38	199805	2361807
39	204368	2350237
40	210492	2356487
41	215585	2350903
42	220857	2347257
43	225824	2340363
44	231623	2341970
45	236698	2336110
46	241589	2328513
47	246864	2324641
48	252901	2327724
49	258648	2327836
50	263675	2321376
51	268735	2315258
52	273481	2306529
53	279089	2305070
54	284981	2305759
55	291103	2308037
56	295795	2298904
57	300953	2293476
58	306469	2290729
59	311896	2287238
60	318509	2292227
61	323629	2286287
62	327985	2275071
63	332366	2264245
64	337217	2256761
65	342962	2255240
66	348618	2253014
67	354435	2251709
68	359511	2245646
69	365088	2242687
70	370291	2237396
71	375082	2229659
72	380808	2227468
73	388172	2234616
74	393967	2232481
75	398661	2224113
76	404735	2223416
77	409901	2217674
78	415026	2211724
79	422450	2217863
80	427403	2210889
81	431436	2199275
82	436714	2194093
83	441697	2187454
84	447026	2182540
85	452510	2178365
86	457139	2170098
87	464478	2174601
88	471049	2175295
89	475752	2167316
90	481678	2164905
91	486906	2159325
92	492210	2154084
93	496823	2145856
94	501360	2137380
95	506181	2130178
96	511409	2124723
97	516398	2118288
98	521145	2110902
99	525880	2103520
100	531391	2099258
101	536485	2093344
102	541523	2087229
103	548019	2086691
104	553484	2082156
105	558255	2075025
106	562885	2067420
107	568132	2062111
108	572497	2053636
109	577196	2046424
110	581973	2039529
111	586235	2030886
112	591585	2026050
113	596677	2020328
114	601906	2015079
115	607635	2011482
116	613038	2006783
117	618666	2002802
118	623293	1995586
119	629118	1992207
120	634417	1987141
121	639535	1981511
122	645212	1977601
123	649092	1968216
124	655146	1965439
125	661612	1963835
126	666510	1957546
127	672649	1954888
128	677075	1947246
129	682250	1941789
130	687820	1937447
131	693098	1932275
132	698659	1927879
133	703393	1921209
134	708232	1914851
135	713251	1908997
136	718116	1902747
137	723595	1898126
138	728857	1892930
139	733136	1885209
140	740085	1884331
141	746112	1881045
142	752057	1877513
143	756962	1871380
144	762823	1867602
145	767294	1860426
146	772471	1854981
147	776826	1847586
148	781831	1841764
149	787807	1838217
150	792618	1831945
151	798515	1828180
152	803503	1822324
153	808163	1815743
154	812431	1808315
155	817613	1802943
156	823891	1799965
157	828603	1793559
158	833459	1787481
159	837723	1780161
160	841919	1772737
161	847378	1767986
162	851433	1760326
163	857949	1757750
164	863929	1754039
165	869670	1749819
166	875899	1746553
167	881198	1741415
168	886671	1736616
169	891185	1729949
170	896310	1724481
171	901305	1718769
172	906632	1713692
173	911494	1707742
174	915943	1701037
175	921303	1696036
176	926088	1689980
177	931610	1685272
178	937320	1680892
179	944086	1678375
180	949310	1673094
181	954757	1668202
182	959055	1661314
183	964017	1655594
184	969608	1650955
185	975169	1646254
186	980043	1640393
187	985661	1635778
188	989908	1628896
189	994432	1622495
190	999009	1616198
191	1003639	1610005
192	1008111	1603576
193	1012910	1597683
194	1017705	1591796
195	1022776	1586347
196	1027939	1581044
197	1034110	1577279
198	1039909	1572928
199	1044543	1566815
200	1049989	1561924
201	1054996	1556381
202	1060653	1551793
203	1066447	1547394
204	1072110	1542792
205	1079188	1540200
206	1084097	1534494
207	1090148	1530400
208	1094540	1523977
209	1099568	1518451
210	1105224	1513791
211	1109736	1507566
212	1114688	1501951
213	1119606	1496297
214	1124828	1491051
215	1130895	1486917
216	1136483	1482142
217	1141692	1476868
218	1146049	1470501
219	1151534	1465588
220	1157175	1460868
221	1161917	1455014
222	1167039	1449641
223	1171572	1443544
224	1176934	1438475
225	1181416	1432336
226	1186923	1427446
227	1191472	1421406
228	1196377	1415800
229	1202745	1411918
230	1207301	1405905
231	1212589	1400749
232	1216808	1394368
233	1222577	1389767
234	1227120	1383774
235	1232724	1378980
236	1237695	1373476
237	1242662	1367972
238	1247767	1362624
239	1253263	1357702
240	1257698	1351634
241	1265018	1348656
242	1269761	1342915
243	1274518	1337199
244	1279271	1331486
245	1285979	1327799
246	1290995	1322355
247	1296512	1317423
248	1302400	1312861
249	1306626	1306626
250	1311615	1301164
251	1316403	1295507
252	1321213	1289880
253	1326626	1284843
254	1331951	1279718
255	1337044	1274370
256	1341977	1268874
257	1348031	1264432
258	1356708	1262420
259	1361459	1256731
260	1367986	1252677
261	1373811	1247966
262	1378351	1242088
263	1384480	1237641
264	1388813	1231589
265	1394226	1226500
266	1400147	1221851
